technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,site_id,activity_name,mining_processing_type,archetypes,metal,mass_t,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-857b7b89-2023.0-1.0,2023.0,Energy,Acetylene,GJ,18.475650648,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,18475.650648,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,20482.948917490714,"Au, usable ore",metal_economic
TECH-857b7b89-2023.0-2.0,2023.0,Energy,Aviation fuel,GJ,72676.1107896,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,72676110.7896,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,80572050.92186654,"Au, usable ore",metal_economic
TECH-857b7b89-2023.0-3.0,2023.0,Energy,Diesel,GJ,287042.447231542,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,287042447.2315421,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,318228347.99226177,"Au, usable ore",metal_economic
TECH-857b7b89-2023.0-4.0,2023.0,Energy,Electricity consumption|Generated on-site,GJ,86225.1173956,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,86225117.39559999,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,95593097.5675761,"Au, usable ore",metal_economic
TECH-857b7b89-2023.0-5.0,2023.0,Energy,Electricity consumption|Grid electricity,GJ,569009.5848,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,569009584.8,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,630829976.2250949,"Au, usable ore",metal_economic
TECH-857b7b89-2023.0-6.0,2023.0,Energy,Gasoline,GJ,13568.45,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,13568450.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,15042602.47904244,"Au, usable ore",metal_economic
TECH-857b7b89-2023.0-7.0,2023.0,Energy,Propane,GJ,42071.0413,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,42071041.3,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,46641875.09666003,"Au, usable ore",metal_economic
TECH-857b7b89-2023.0-8.0,2023.0,Energy,Used oil,GJ,2344.0244,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,2344024.4,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Hybrid free-miling-refactory,Au,0.9020015,1.0,mining,2598692.352507174,"Au, usable ore",metal_economic
TECH-e7e6a960-2023.0-1.0,2023.0,Energy,Diesel,GJ,2557832.0,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,2557832000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Hybrid free-miling-refactory,Au,18.7851143425,0.9933618909341001,mining,135258843.0331377,"Au, usable ore",metal_economic
TECH-e7e6a960-2023.0-1.0,2023.0,Energy,Diesel,GJ,2557832.0,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,2557832000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Hybrid free-miling-refactory,Ag,9.6731885,0.00663810906589986,mining,1755281.3933325885,"Ag, usable ore",metal_economic
