technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key
TECH-857b7b89-2023-1,2023,Energy,Acetylene,GJ,18.475650648,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,18475.650648,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,0.11129910028915661,main_id
TECH-857b7b89-2023-2,2023,Energy,Aviation fuel,GJ,72676.1107896,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,72676110.7896,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,437.80789632289157,main_id
TECH-857b7b89-2023-3,2023,Energy,Diesel,GJ,287042.447231542,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,287042447.23154205,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,1729.1713688647112,main_id
TECH-857b7b89-2023-4,2023,Energy,Gasoline,GJ,13568.45,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,13568450.0,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,81.73765060240964,main_id
TECH-857b7b89-2023-5,2023,Energy,Propane,GJ,42071.0413,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,42071041.3,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,253.4400078313253,main_id
TECH-857b7b89-2023-6,2023,Energy,Used oil,GJ,2344.0244,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,2344024.4,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,14.12062891566265,main_id
TECH-857b7b89-2023-7,2023,Energy,Electricity consumption|Grid electricity,GJ,569009.5848,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,569009584.8,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,3427.76858313253,main_id
TECH-857b7b89-2023-8,2023,Energy,Electricity consumption|Generated on-site,GJ,86225.1173956,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,86225117.39559999,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,519.4284180457831,main_id
TECH-e7e6a960-2023-1,2023,Energy,Electricity consumption|Grid electricity,kWh,674524386.0,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,2428287789.6,direct_unit,kwh→MJ factor=3.6,MJ,False,19594928.0,,19594928.0,123.92430273793299,main_id
TECH-e7e6a960-2023-2,2023,Energy,Diesel,GJ,2557832.0,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,2557832000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,19594928.0,,19594928.0,130.53541202090665,main_id
TECH-e7e6a960-2023-3,2023,Energy,Light Fuel & Gasoline,GJ,42833.0,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,42833000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,19594928.0,,19594928.0,2.18592280614657,main_id
TECH-e7e6a960-2023-4,2023,Energy,Natural gas,GJ,162805.0,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,162805000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,19594928.0,,19594928.0,8.308527594487716,main_id
TECH-e7e6a960-2023-5,2023,Energy,Propane,GJ,1463.60937,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,1463609.3699999999,direct_unit,gj→MJ factor=1000.0,MJ,False,19594928.0,,19594928.0,0.07469327623964732,main_id
