metal,database,name,product,location,unit,description,categories,activity type,production amount,parameters,authors,data quality
potash,ecoinvent-3.10-cutoff,market for salt tailing from potash mine,salt tailing from potash mine,CA,kilogram,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant. This is the market for ''salt tailing from potash mine'' in the geography of Canada. Transport from producers to consumers of this product in the geography covered by the market is included.
Geography:  The disposal mix is country-specific for Canada.
Technology:  The dataset supplies a disposal mix (technology mix) of ''salt tailing from potash mine'' to the respective waste producing activities.",,market activity,-1.0,[],"{'data entry': {'name': 'Nikolia Stoikou', 'email': 'stoikou@ecoinvent.org'}, 'data generator': {'name': 'Nikolia Stoikou', 'email': 'stoikou@ecoinvent.org'}}",
copper,ecoinvent-3.10-cutoff,"selective coating, copper sheet, black majic","selective coat, copper sheet, black majic",CA-QC,square meter,"Inventory for selective coatings of solar absorbers.
[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.]
Child dataset exchanges identical to GLO dataset. Created to enable linking to regional markets (e.g. for electricity). Data quality indicators adjusted accordingly.
Geography:  Production plant data for US.
Child dataset exchanges identical to GLO dataset. Created to enable linking to regional markets (e.g. for electricity). Data quality indicators adjusted accordingly.
Technology:  Black Majic crystal coating with nickel underlay.
Time period:  Date of information.",,ordinary transforming activity,1.0,"[{'description': 'Quebec gross domestic product 2011', 'id': '4c4da3c9-0eac-460f-905f-635c077f18b0', 'unit': 'USD(2011)', 'comment': 'Quebec Gross domestic product for 2011, expressed in 2011 USD. Source: Institut de la statistique du Québec. Converted from CAD to USD using a yearly average exchange rate of 0.989 CAD/USD (Source: bank of Canada).', 'amount': 311000000000.0, 'pedigree': {'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 26.46, 'scale': 0.02449489742783178, 'scale without pedigree': 0.02449489742783178, 'name': 'quebecGDP2011'}, {'description': 'world gross domestic product 2011', 'id': 'ec57464e-4c88-4983-a8d1-6f9566c63756', 'unit': 'USD(2011)', 'comment': 'World Gross domestic product for 2011, expressed in 2011 USD. Source:\xa0World Bank.', 'amount': 70000000000000.0, 'pedigree': {'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 31.88, 'scale': 0.02449489742783178, 'scale without pedigree': 0.02449489742783178, 'name': 'worldGDP2011'}]","{'data entry': {'name': 'Pascal Lesage', 'email': 'pascal.lesage@polymtl.ca'}, 'data generator': {'name': 'Pascal Lesage', 'email': 'pascal.lesage@polymtl.ca'}}",
copper,ecoinvent-3.10-cutoff,"treatment of sulfidic tailings, from copper mine operation, tailings impoundment","sulfidic tailings, from copper mine operation",CA,kilogram,"'This dataset represents the activity of waste disposal of sulfidic tailings, from copper mine operation in a tailings impoundment in Canada. 
Background: Tailings, a waste material produced during mineral concentration (beneficiation), often contain significant quantities of mobile toxic metals and are typically produced in large quantities. To manage these wastes, tailings are commonly stored behind dammed impoundments, known as tailings ponds. These ponds pose a significant long-term pollution risk as metals may leach out into the surrounding environment, potentially over very long timeframes.
Modelling approach: This dataset was produced using a model developed specifically for assessing the long-term emissions of tailings disposal (see Doka, 2017). The tailings disposal model is based on the modelling framework applied in existing landfill process models used in ecoinvent and is based on a top-down approach. Literature data on measurements of deposited tailings compositions (solids) and measured current concentrations in leachate (liquid) form the basis of the model and are used to characterise pollutant mobility and calculate the currently occurring rate of emissions of the landfill. Heeding chief parameters, such as hydrology, pH development and elemental chemistry, these emissions are then projected into the future. Tailings composition is based on the typical composition of tailings at copper mine sites worldwide; i.e. composition is not region-specific. Land use was calculated following the approach described by Doka (2008). Based on an assumed generic final height of a tailings impoundment of 60 m and an assumed tailings density of 2200 kg/m3, a land area of 7.58E-06 m2 is required per kilogram of sulfidic tailings. The land is assumed to be converted from unknown origin to a disposal site. After an operational phase of 30 years, spontaneous restoration of a consolidated state is assumed to be reached after one hundred years. The total occupation time is therefore 130 years and the land occupation per kilogram tailings is 9.85E-04 m2.
Waste composition (wet, in ppm): H2O 300000; O 622290; H na; C 6145; S 289.86; N 5.0454; P 212.27; B 54.583; Cl 102.61; Br 0.22894; F 772.88; I na; Ag 8.304; As 46.473; Ba 335.12; Cd 3.6523; Co 13.907; Cr 60.142; Cu 876.83; Hg 0.24258; Mn 158.19; Mo 12.151; Ni 19.339; Pb 133.55; Sb 28.698; Se 3.3486; Sn 28.153; V 136.61; Zn 182.34; Be 1.6625; Sc 13.352; Sr 90.588; Ti 229.49; Tl 8.6074; W 9.7967; Si 38694; Fe 10340; Ca 3158.3; Al 11031; K 1832.5; Mg 1606.1; Na 1060.3.   //  Share of carbon in waste that is biogenic 0%.
Activity extent: The dataset includes all potential emissions to the environment and land use changes. Input exchanges of infrastructure, materials, energy, and water are not included here but are accounted for in the activity, copper mine operation.
References
Doka, G. (2008). Life Cycle Inventory data of mining waste: Emissions from sulfidic tailings disposal. Zürich, Switzerland: Doka Life Cycle Assessments.
Doka, G. (2017). A model for waste-specific and climate-specific life cycle inventories of tailings impoundments. Zürich, Switzerland: Doka Life Cycle Assessments.'
Geography:  Given name of site is 'Copper deposits; Canada'. Impoundment site with mean annual temperature (MAT) of 1.23037159505582 degC, mean annual precipitation (MAP) of 906.183485669592 mm/year, mean annual actual evaporation (EAT) of 319.247373368559 mm/year, and net infiltration of 746.559798985312 mm/year (using half of natural surface evapotranspiration). 
Temperature at site can result in permafrost conditions, which slows down water flow by a factor of 0.992. 
Technology:  This is an inventory for an impoundment of copper ore beneficiation tailings waste. The following assumptions were made concerning technology: final impoundment height is 60 meters; operation phase duration is 30 years; and impoundment leachates are released into the environment untreated.
Time period:  'Data on average composition of tailings and tailings-derived leachates from literature sources published between 1994 and 2017 (mean publication date: 2009±6). Mean annual temperature and precipitation data for 1970-2000 (source: Fick and Hijmans, 2017); mean annual evapotranspiration for 1950-2000 (source: Fekete et al., 2002). Production volume based on world mine production data from the USGS Minerals Yearbook 2015. Transfer coefficients from prospective, tailings-specific model. 
References: 
Fekete, B. M., Vorosmarty, C. J. & Grabs, W. (2002). High-resolution fields of global runoff combining observed river discharge and simulated water balances. Global Biogeochemical Cycles, 16, 15-1 - 15-10.
Fick, S. E. & Hijmans, R. J. (2017). Worldclim 2: New 1-km spatial resolution climate surfaces for global land areas. International Journal of Climatology, 37, 4302-4315.'",,ordinary transforming activity,-1.0,[],"{'data entry': {'name': 'David Turner', 'email': 'david.turner@empa.ch'}, 'data generator': {'name': 'David Turner', 'email': 'david.turner@empa.ch'}}",
copper,ecoinvent-3.10-cutoff,"copper mine operation and beneficiation, sulfide ore",molybdenite,CA,kilogram,"""For the mining and beneficiation of copper sulfide ores in Canada.
Background: Metals are produced as part of a complex, highly interconnected and interdependent system, with many desirable but scarce/critical metals recovered as by-products during the production of one or more ‘host’ metal(s). Copper is one of the world’s major mineral commodities and is mined from heterogeneous sulfide or oxide mineral deposits in countries worldwide. Copper sulfide deposits, such as those of the porphyry or massive sulphide type, contain numerous other valuable minerals, which are desirable to society. Copper is mined & beneficiated to produce a copper sulfide concentrate, as well as other by-product concentrates (e.g. molybdenite), which are sold to smelters. Copper sulfide concentrates are smelted to produce the intermediate product, copper anode. This is then sold to refineries, where it is electrorefined to produce copper cathode, which is sold to fabricators. The by-product of copper electrorefining is anode slime, which contains various important by-product metals (principally gold, silver, selenium & tellurium) and is sold to precious metal recovery plants for further processing to recover the valuable metals. 
Modelling approach: This dataset was created using the life cycle inventory process model described by Classen et al. (2009) and used to generate datasets for ecoinvent v2.1. Typical average ore grades are estimated for each region based on data from Northey et al. (2014), while values for several other key input parameters have been updated since the release of the v2.1 dataset. These include (non-exclusively) the production volumes, beneficiation efficiency (i.e. yield), concentrate grades, anode slime composition (a product of the downstream copper electrorefining processing but that has a direct influence on the properties of exchanges in this dataset), and water outputs. Further information on these changes is provided in the Sampling Procedure comment, as well as the accompanying documentation (see Turner & Hischier, 2020). 
References:
Classen, M., Althaus, H.-J., Blaser, S., Scharnhost, W., Tuchschmid, M., Jungbluth, N., & Emmenegger, M. F. (2009). Life cycle inventories of metals. Final report, ecoinvent data v2.1, No. 10. Dübendorf, Switzerland.
Northey, S., Mohr, S., Mudd, G. M., Weng, Z., & Giurco, D. (2014). Modelling future copper ore grade decline based on a detailed assessment of copper resources and mining. Resources Conservation and Recycling, 83, 190-201.
Turner, D. A. & Hischier, R. (2020). Life cycle inventories of pyrometallurgical copper production and anode slime processing. Empa, St. Gallen, Switzerland.""
Geography:  This dataset is valid for the whole corresponding region. Some agents used, such as lime and sodium cynaide, originate from datasets value for Switzerland or Europe. Processes such as blasting originate from datasets value for Switzerland or Europe. Exchanges amounts calculated based on country-specific average ore grade (as reported in Northey et al. 2014).
References:
Northey, S., Mohr, S., Mudd, G. M., Weng, Z., & Giurco, D. (2014). Modelling future copper ore grade decline based on a detailed assessment of copper resources and mining. Resources Conservation and Recycling, 83, 190-201.
Technology:  Based on typical current technology. Mining is done 70% open pit and 30% underground, followed by joint beneficiation of copper and molybdenite trough flotation, where considerable amounts of agents are added. Overburden is disposed separate to sulfidic tailings near the mining site. No dewatering (or other pre-treatment) of the tailings of is assumed as this is considered a treatment activity that occurs only at selective sites and is therefore modelled separately.
Time period:  Production volumes are representative of the situation in 2015 but are considered valid until the end of 2019. Data sources for the inventory model have not been updated since v2.1 (see Classen et al. 2009), but important model parameters that determine input data to the model have been updated to be consistent with the current situation.
References
Classen, M., Althaus, H.-J., Blaser, S., Scharnhost, W., Tuchschmid, M., Jungbluth, N., & Emmenegger, M. F. (2009). Life cycle inventories of metals. Final report, ecoinvent data v2.1, No. 10. Dübendorf, Switzerland.",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'David Turner', 'email': 'turner@ecoinvent.org'}, 'data generator': {'name': 'David Turner', 'email': 'turner@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,"anodising, aluminium sheet","anodising, aluminium sheet",CA-QC,square meter,"Colourless anodising is inventoried. The coating thickness is 20 um.
[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.]
Child dataset exchanges identical to GLO dataset. Created to enable linking to regional markets (e.g. for electricity). Data quality indicators adjusted accordingly.
Geography:  Swiss waste treatment assumed
Child dataset exchanges identical to GLO dataset. Created to enable linking to regional markets (e.g. for electricity). Data quality indicators adjusted accordingly.
Technology:  Porous anodising",,ordinary transforming activity,1.0,"[{'description': 'Quebec gross domestic product 2011', 'id': '4c4da3c9-0eac-460f-905f-635c077f18b0', 'unit': 'USD(2011)', 'comment': 'Quebec Gross domestic product for 2011, expressed in 2011 USD. Source: Institut de la statistique du Québec. Converted from CAD to USD using a yearly average exchange rate of 0.989 CAD/USD (Source: bank of Canada).', 'amount': 311000000000.0, 'pedigree': {'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 26.46, 'scale': 0.02449489742783178, 'scale without pedigree': 0.02449489742783178, 'name': 'quebecGDP2011'}, {'description': 'fraction, cooling water, once-through system, to air', 'id': '0b267c5e-0421-434c-8209-62d70a1f2f07', 'unit': 'dimensionless', 'comment': 'Calculated based on literature value (Scown, C.D., 2011, Water Footprint of U.S. Transportation Fuels and supplying information of the article) (Vionnet, S., Quantis Water Database - Technical Report, 2012). ', 'amount': 0.004, 'pedigree': {'reliability': 2, 'completeness': 3, 'temporal correlation': 1, 'geographical correlation': 3, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -5.52, 'scale': 0.20322401432901577, 'scale without pedigree': 0.2, 'name': 'fraction_CW_OT_to_air'}, {'description': 'fraction, cooling water, recirculating system, to air', 'id': 'e952df4c-1ca5-4710-9f53-be47be9191c1', 'unit': 'dimensionless', 'comment': 'Calculated based on literature value (Scown, C.D., 2011, Water Footprint of U.S. Transportation Fuels and supplying information of the article) (Vionnet, S., Quantis Water Database - Technical Report, 2012). ', 'amount': 0.771, 'pedigree': {'reliability': 2, 'completeness': 3, 'temporal correlation': 1, 'geographical correlation': 3, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -0.26, 'scale': 0.20322401432901577, 'scale without pedigree': 0.2, 'name': 'fraction_CW_R_to_air'}, {'description': 'fraction, cooling water, to air', 'id': 'd1efa4be-e613-43fd-9d73-e8b92b39b283', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature value (see comments of the other parametres present in this dataset) and expert opinion. In the case when no industry/literature data are available about the type of cooling or directly fraction, cooling water, to air specific for the process a default assumption is applied. It is assumed that the once-through cooling system is used in 50% of all cases and recirculating system is used in another 50% of all cases. ', 'amount': 0.3875, 'pedigree': {'reliability': 4, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 2, 'further technological correlation': 4}, 'uncertainty type': 2, 'loc': -0.95, 'scale': 0.30335622624235026, 'scale without pedigree': 0.2, 'name': 'fraction_CW_to_air'}, {'description': 'fraction, water, decarbonised, to air', 'id': '68b1bd9b-e466-4d80-9da1-eb76644717dc', 'unit': 'dimensionless', 'comment': 'Calculated value. See comments in the other parametres present in this dataset. Decarbonised water is considered to be always used as cooling water, thus cooling water fractions to air are applied to all carbonised water input flows to calculate the amount of water consumed in the processes.', 'amount': 0.3875, 'pedigree': {'reliability': 4, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 2, 'further technological correlation': 4}, 'uncertainty type': 2, 'loc': -0.95, 'scale': 0.30335622624235026, 'scale without pedigree': 0.2, 'name': 'fraction_WDC_to_air'}, {'description': 'world gross domestic product 2011', 'id': 'ec57464e-4c88-4983-a8d1-6f9566c63756', 'unit': 'USD(2011)', 'comment': 'World Gross domestic product for 2011, expressed in 2011 USD. Source:\xa0World Bank.', 'amount': 70000000000000.0, 'pedigree': {'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 31.88, 'scale': 0.02449489742783178, 'scale without pedigree': 0.02449489742783178, 'name': 'worldGDP2011'}]","{'data entry': {'name': 'Pascal Lesage', 'email': 'pascal.lesage@polymtl.ca'}, 'data generator': {'name': 'Pascal Lesage', 'email': 'pascal.lesage@polymtl.ca'}}",
aluminium,ecoinvent-3.10-cutoff,"electricity production, natural gas, aluminium industry","electricity, high voltage, aluminium industry",CA,kilowatt hour,"Geography:  Canada
Time period:  Production volume updated with 2016 data from AAC ",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}, 'data generator': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}}",
gold,ecoinvent-3.10-cutoff,gold-silver mine operation with refinery,gold,CA-QC,kilogram,"This dataset describes the production of gold and silver in Quebec (Canada) in 2012. This includes the operations at the mining site located in Quebec, i.e. mining, benefication and a first refining, which leads to the production of doré bars, containing gold, silver and impurities. 
Specific data were collected from 3 mines that produced doré bars in Quebec. These mines represent about 98% of Quebec gold production and about 95% of Quebec silver production from combined gold-silver mines. Share is estimated as the production statistics for 2012-2013 are not published yet and considers gold-silver mines only (not gold and silver coming from other mines). One mine is an open-pit mine and the two others are underground. A weighted average of 839 tonnes of ore is extracted per kg of gold produce. The recovery rate of gold is known for two of the mines (89% and 91%) and the recovery rate of silver known for only one mine (76%). 
Note that the mine infrastructure are extrapolated from gold-silver mine operation with refinery, GLO dataset, where the modelled mines are open pit. This is not representative of the Quebec situation where two of the three modelled mine are underground. Thus a mine infrastrucuture, gold and silver, Québec will eventually be created in order to reflect the Québec specificity. 
In order to create a dataset with gold and silver as outputs (to comply with the boundaries of the GLO dataset), a very simplified modeling of the refining of the doré bars to produce gold and silver has been added to this dataset although it is done in Ontario (Canada) : electricity use is extrapolated from gold-silver mine operation with refinery, PE and PG datasets and infrastructure extrapolated from gold-silver mine operation with refinery, GLO dataset. 
It is assume that the refining efficency is 100% (i.e. no loss of gold).
Geography:  Inputs and outputs for mining, benefication and a first refining relate to Quebec production. Inputs for doré bar refining, which is done in Ontario, are extrapolated from dataset gold-silver mine operation with refinery (PG, CL, SE).
Technology:  One of the modelled mine is an open-pit mine and the two others are underground.
Time period:  Collected data for Quebec industry for the years 2012 and 2013 : two mines provided 2012 data and one mine provided 2013 data (partly extrapolated as the year was not yet completed). ",,ordinary transforming activity,1.0,"[{'description': 'annual production Quebec', 'id': '87e3a578-9c73-4a7a-b9a0-f9c1d0696af8', 'unit': 'kilogram', 'amount': 0.0, 'uncertainty type': 0, 'loc': 0.0, 'name': 'annualProductionQuebec'}]","{'data entry': {'name': 'Catherine Reid', 'email': 'catherine-2.reid@polymtl.ca'}, 'data generator': {'name': 'Catherine Reid', 'email': 'catherine-2.reid@polymtl.ca'}}",
gold,ecoinvent-3.10-cutoff,gold-silver mine operation and beneficiation,lead concentrate,CA-QC,kilogram,"Geography:  Inputs and outputs relate to Quebec production.
Technology:  The ore is mined in an underground mine and transported by trucks to the mill for further processing. 
The ore is then fed into a series of grinding mills where steel balls grind the ore. Then follows the steps of flotation of copper and zinc, concentrate handling, cyanide destruction and backfilling of the tailings, refining of gold by electro-winning and melting in furnace to produce the gold and silver ingots. 20% of the tailings produce are sent underground to be used as backfill; sulfidic tailing is managed on site in tailings ponds.
Time period:  The dataset represents the activity in 2012",,ordinary transforming activity,1.0,"[{'description': 'fraction_PW_to_air', 'id': '03aa6275-c0cd-43cf-894c-b062f8a2baa6', 'unit': 'dimensionless', 'comment': 'Literature value. In case when no industry/process specific data are available, default evaporation fraction value is used. This value is 15% and is based on literature (Statistics Canada, 2007 & Shaffer, K.H., 2008, Consumptive water use in the Great Lakes Basin, USGS & Shiklomanov, 2003, World Water Resources at the Beginning of the 21st Century) and has been approved by an expert.', 'amount': 0.15, 'uncertainty type': 0, 'loc': 0.15, 'name': 'fraction_PW_to_air'}, {'description': 'fraction_TW_to_air', 'id': 'bed45657-1efd-4ddb-bbe3-952e8f626a05', 'unit': 'dimensionless', 'comment': 'Calculated value. See comment in the other parametres present in this dataset. Tap water is considered to be always used as process water, thus process water fractions to air are applied to all tap water input flows to calculate the amount of water consumed in the processes.', 'amount': 0.15, 'uncertainty type': 0, 'loc': 0.15, 'name': 'fraction_TW_to_air'}]","{'data entry': {'name': 'Catherine Reid', 'email': 'catherine-2.reid@polymtl.ca'}, 'data generator': {'name': 'Catherine Reid', 'email': 'catherine-2.reid@polymtl.ca'}}",
copper,ecoinvent-3.10-cutoff,"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",CA,kilogram,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant.
This is the market for  'sulfidic tailings, from copper mine operation', in the geography of Canada.
This dataset represents the conveyance of 1 kg of sulfidic tailings generated in a copper mine, from the location in the mine where they are produced to the tailings impoundment.",,market activity,-1.0,[],"{'data entry': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}, 'data generator': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}}",
nickel,ecoinvent-3.10-cutoff,"market for sulfidic tailings, from nickel mine operation","sulfidic tailings, from nickel mine operation",CA,kilogram,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant.
This is the market for  'sulfidic tailings, from nickel mine operation', in the geography of Canada.
This dataset represents the conveyance of 1 kg of sulfidic tailings generated in a nickel mine, from the location in the mine where they are produced to the tailings impoundment.",,market activity,-1.0,[],"{'data entry': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}, 'data generator': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}}",
