metal,database,name,product,location,unit,description,categories,activity type,production amount,parameters,authors,data quality
copper,ecoinvent-3.10-cutoff,"stockpiling of anode slime from electrorefining of copper, anode","stockpiling of anode slime from electrorefining of copper, anode",US,kilogram,"Stockpiling is a way of assuring provision and control over supplies, and is systematically applied with some commodities by several countries.
The United States has a known and well documented national stockpiling service.  Tellurium can be found as one of the commodities that is stockpiled, as it is considered of strategic importance.
This dataset describes the stockpiling of ""anode slime, silver and tellurium containing, from refining of primary copper"". Only the infrastructure for the storage tank is included by using as a proxy a storage tank for liquid organic chemicals. No losses are taken into account. The stockpiling is considered to happen in the geographical sourroundings of the mine producing the concentrate.
Sources:
-US Department of defense, 2013, Strategic and Critical Materials - Report on Stockpile Requirements.
-Reconfiguration of the National Defense Stockpile Report to Congress, April 2009.
Technology:  The storage does not consider infrastructre nor process losses.",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'Emilia Moreno Ruiz', 'email': 'moreno@ecoinvent.org'}, 'data generator': {'name': 'Emilia Moreno Ruiz', 'email': 'moreno@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,"market for residues, MSWI-WWT-SLF, waste aluminium","residues, MSWI-WWT-SLF, waste aluminium",GLO,kilogram,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant. This is the market for 'residues, MSWI-WWT-SLF, waste aluminium' in Global geography. Transport from producers to consumers of this product in the geography covered by the market is included.
Geography:  The disposal mix is country-specific for Global geography.
Technology:  The dataset supplies a disposal mix (technology mix) of 'residues, MSWI-WWT-SLF, waste aluminium' to the respective waste producing activities.",,market activity,-1.0,[],"{'data entry': {'name': 'Nikolia Stoikou', 'email': 'stoikou@ecoinvent.org'}, 'data generator': {'name': 'Nikolia Stoikou', 'email': 'stoikou@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,"anode production, prebake, for aluminium electrolysis","anode, prebake, for aluminium electrolysis",CA,kilogram,"Industry average of prebake anodes for use in the Hall-Héroult process using prebake technology.
[This dataset is meant to replace the following datasets:Unable to replace dataset! Dataset not found by activity index entry id 'ff8d249e-0823-4d1c-9ec6-e515314ab7c0'.]
[This dataset is meant to replace the following datasets:
 - anode production, prebake, for aluminium electrolysis, RNA, 2015 - 2015 (f93b3a7f-be6f-4f5b-b6be-5b9ab744fc88)]
Geography:  Data mostly from global surveys by IAI.",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}, 'data generator': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}}",
cadmium,ecoinvent-3.10-cutoff,market for cadmium sludge from zinc electrolysis,cadmium sludge from zinc electrolysis,GLO,kilogram,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for 'cadmium sludge from zinc electrolysis', in the Global geography. This is a constrained market for consequential system model, for attributional system models, this is a regular market. In the case of consequential system model, details about the marginal consumer can be found in the comment of the conditional exchange (by-product).
This product is generally considered to be used at the production site.  Therefore, the market does not contain any transport.",,market activity,1.0,[],"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}",
copper,ecoinvent-3.10-cutoff,"mine construction, gold-silver-zinc-lead-copper","mine infrastructure, gold-silver-zinc-lead-copper",SE,unit,"This dataset describes the production of 1 unit of gold-silver-zinc-lead-copper mine infrastructure. It includes land use and buildings and machinery consumption, as in open pit mining. Data corresponds to Swedish mines Aitik, Boliden and Garpenberg, which produce gold, silver and other metals.
[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.]
Geography:  Land use for Sweden, other inputs based on rough assumptions.
Technology:  The mine is foreseen to have a lifetime of 50 years.
Time period:  Period of public environmental report",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'Matthias Tuchschmid (obsolete)', 'email': 'esu-services@ecoinvent.org'}, 'data generator': {'name': 'Mireille Faist Emmenegger (obsolete)', 'email': 'esu-services@ecoinvent.org'}}",
uranium,ecoinvent-3.10-cutoff,"market for tailing, from uranium milling","tailing, from uranium milling",GLO,cubic meter,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant.
This is the market for  'tailing, from uranium milling', in the Global geography.
Transport from producers to consumers of this product in the geography covered by the market is included.",,market activity,-1.0,[],"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,"market for residues, MSWI, aluminium in car shredder residue","residues, MSWI, aluminium in car shredder residue",GLO,kilogram,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant. This is the market for 'residues, MSWI, aluminium in car shredder residue' in Global geography. Transport from producers to consumers of this product in the geography covered by the market is included.
Geography:  The disposal mix is country-specific for Global geography.
Technology:  The dataset supplies a disposal mix (technology mix) of 'residues, MSWI, aluminium in car shredder residue' to the respective waste producing activities.",,market activity,-1.0,[],"{'data entry': {'name': 'Nikolia Stoikou', 'email': 'stoikou@ecoinvent.org'}, 'data generator': {'name': 'Nikolia Stoikou', 'email': 'stoikou@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,"market for section bar extrusion, aluminium","section bar extrusion, aluminium",GLO,kilogram,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'section bar extrusion, aluminium', in the Global geography.
Transport from producers to consumers of this product in the geography covered by the market is included.",,market activity,1.0,[],"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,aluminium oxide production,"aluminium oxide, non-metallurgical","IAI Area, South America",kilogram,"Data on Al(OH)3 extraction and calcination to Al2O3 was aggregated on original source (IAI 2015, IAI personnal communication 2017). In- and outputs of AL(OH)3 are calculated according to the stoichiometry (1.530 kg Al(OH)3 --> 1.000 kg Al2O3 + 0.530 kg H2O). Separate energy data was provided by IAI for production of hydrate and calcination processes.
Two sources were used in the creation of this dataset: IAI 2015 Survey data; and original ecoinvent 2 data (Althaus, 2007) for flows unreported by IAI.
As reported by the IAI: ""Total alumina production is the quantity of aluminium oxide trihydrate produced in a defined period and expressed as 100%, nominal aluminium oxide (Al2O3) equivalent, irrespective of further processing. Total alumina production figures have two components, that to be used for the production of aluminium (metallurgical grade alumina) and that to be used for any other purpose (chemical grade alumina)."" (IAIA, 2019, ALUMINA PRODUCTION. Retrieved from: http://www.world-aluminium.org/statistics/alumina-production/, accesseed 11 Feb 2019).
Geography:  While IAI data are global in scope, flows not reported by IAI and taken from anterior ecoinvent v2 dataset are based on European data.
Technology:  Average technology for the aluminium produced globally.",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'Linlin Wu', 'email': 'wu@world-aluminium.org'}, 'data generator': {'name': 'Linlin Wu', 'email': 'wu@world-aluminium.org'}}",
aluminium,ecoinvent-3.10-cutoff,"window frame production, aluminium, U=1.6 W/m2K","window frame, aluminium, U=1.6 W/m2K",RER,square meter,"This dataset describes all the processes and material inputs needed to produce a aluminium window frame with 1 m2 visible area. 1 m2 of visible aluminium window frame weighs 50.7 kg.
[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.]
Geography:  Window frames produced and sold in Switzerland and Germany.
Technology:  The dataset describes highly automated technology processes in window frame manufacturing.",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'Hans-Jörg Althaus', 'email': 'empa@ecoinvent.org'}, 'data generator': {'name': 'Martin Lehmann', 'email': 'empa@ecoinvent.org'}}",
