site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,ore_processed_t,value_normalized,functional_unit,allocation_factor,normalization_key
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Acetylene,18475.650648,MJ,MetalliCan,166000.0,0.11129910028915661,Ore processed,1,ore
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Aviation fuel,72676110.7896,MJ,MetalliCan,166000.0,437.80789632289157,Ore processed,1,ore
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Diesel,287042447.2315421,MJ,MetalliCan,166000.0,1729.1713688647114,Ore processed,1,ore
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Electricity consumption|Generated on-site,86225117.39559999,MJ,MetalliCan,166000.0,519.4284180457831,Ore processed,1,ore
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Electricity consumption|Grid electricity,569009584.8,MJ,MetalliCan,166000.0,3427.76858313253,Ore processed,1,ore
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Gasoline,13568450.0,MJ,MetalliCan,166000.0,81.73765060240964,Ore processed,1,ore
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Propane,42071041.3,MJ,MetalliCan,166000.0,253.4400078313253,Ore processed,1,ore
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Energy,Used oil,2344024.4,MJ,MetalliCan,166000.0,14.12062891566265,Ore processed,1,ore
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Energy,Diesel,2557832000.0,MJ,MetalliCan,17332900.0,147.57092004223182,Ore processed,1,ore
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Energy,Electricity consumption|Grid electricity,2428287789.6,MJ,MetalliCan,17332900.0,140.09702874879565,Ore processed,1,ore
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Energy,Light Fuel & Gasoline,42833000.0,MJ,MetalliCan,17332900.0,2.4711963952944975,Ore processed,1,ore
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Energy,Natural gas,162805000.0,MJ,MetalliCan,17332900.0,9.39283097462052,Ore processed,1,ore
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Energy,Propane,1463609.37,MJ,MetalliCan,17332900.0,0.0844411131432132,Ore processed,1,ore
NL-MAIN-dd723db4,Open-pit mining and beneficiation at Carol Lake,"Open-pit, concentrator",Fe concentrator + pellet plant,Energy,Energy use,14922000000.0,MJ,MetalliCan,16478000.0,905.5710644495691,Ore processed,1,ore
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Energy,Diesel|Mobile equipment,378542030.2939668,MJ,MetalliCan,1361450.0,278.0432849491107,Ore processed,1,ore
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Energy,Electricity consumption|Not specified,495635929.2,MJ,MetalliCan,1361450.0,364.05004164677365,Ore processed,1,ore
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Energy,Gasoline|Mobile equipment,17908178.0536758,MJ,MetalliCan,1361450.0,13.153753757887399,Ore processed,1,ore
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Energy,Propane,42813081.77158993,MJ,MetalliCan,1361450.0,31.446679475257945,Ore processed,1,ore
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Au–Ag free-milling,Energy,Diesel,3947008000.0,MJ,MetalliCan,25434853.5024164,155.1810785788493,Ore processed,1,ore
