reference_product_market,flow_type,name,supplier_reference_product,categories,unit,location,impact_score_market,n_sites,total_score_market,share_%
Cu concentrate,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.541409488199737,9,1.3460608927369742,40.22176790968777
Cu concentrate,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,0.10907840297842795,8,1.3460608927369742,8.103526635904007
Cu concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.021487575788594362,6,1.3460608927369742,1.596330144092012
Cu concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air',)",kilogram,,0.014647655248974613,7,1.3460608927369742,1.088186673278296
Cu concentrate,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.0008078301269195415,7,1.3460608927369742,0.06001438205941511
Cu concentrate,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.21619367313807006,9,1.3460608927369742,16.061210477519996
Cu concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.14289850455472738,9,1.3460608927369742,10.616050531277885
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-BC,0.08709884471638231,6,1.3460608927369742,6.47064669855183
Cu concentrate,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,0.07345532563577273,9,1.3460608927369742,5.457058148863864
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-MB,0.06497739266617852,1,1.3460608927369742,4.827225351897611
Cu concentrate,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.044050574615076325,9,1.3460608927369742,3.272554373488064
Cu concentrate,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.008068754630052268,4,1.3460608927369742,0.5994345927134023
Cu concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.006727009930532336,9,1.3460608927369742,0.4997552463510149
Cu concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.004778064770371105,8,1.3460608927369742,0.3549664651987448
Cu concentrate,Technosphere (first-tier),"market for chemical, organic","chemical, organic",,kilogram,GLO,0.004465806435089589,5,1.3460608927369742,0.3317685298775132
Cu concentrate,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,0.0014454866480414488,3,1.3460608927369742,0.10738642329191439
Cu concentrate,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.0014148337485205588,9,1.3460608927369742,0.10510919351083346
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,0.0012197448326702301,2,1.3460608927369742,0.09061587326782053
Cu concentrate,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.0007875591115896507,4,1.3460608927369742,0.058508431218760835
Cu concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,0.0004177599605557521,4,1.3460608927369742,0.031035740122150927
Cu concentrate,Technosphere (first-tier),market for dipropylene glycol monomethyl ether,dipropylene glycol monomethyl ether,,kilogram,RoW,0.00038204657479220253,1,1.3460608927369742,0.028382562546288608
Cu concentrate,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,0.00011196378318950386,3,1.3460608927369742,0.008317883967481258
Cu concentrate,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,9.005592999528996e-05,3,1.3460608927369742,0.006690331060148202
Cu concentrate,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,3.016097592517655e-05,3,1.3460608927369742,0.002240684361897596
Cu concentrate,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,1.6356983071973538e-05,2,1.3460608927369742,0.0012151740801795777
Cu concentrate,Technosphere (first-tier),"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",,kilogram,CA,0.0,6,1.3460608927369742,0.0
Cu concentrate,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,0.0,3,1.3460608927369742,0.0
Doré,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,7442.111780503062,21,20310.20537911191,36.6422280897116
Doré,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,260.6023023064855,19,20310.20537911191,1.2831101283421915
Doré,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,255.01558355065237,16,20310.20537911191,1.2556031748104521
Doré,Biosphere (direct),Dinitrogen monoxide,,"('air',)",kilogram,,92.13028596504378,18,20310.20537911191,0.4536157278832613
Doré,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,29.8243526563586,18,20310.20537911191,0.14684417069967956
Doré,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,3950.129109506206,21,20310.20537911191,19.448986535452406
Doré,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-MB,1790.609710979215,1,20310.20537911191,8.8163052886741
Doré,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,1662.0362169612813,20,20310.20537911191,8.183256574404744
Doré,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,1419.945880006739,16,20310.20537911191,6.9912925718963255
Doré,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,1013.9660952782026,18,20310.20537911191,4.992397055329725
Doré,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-ON,1001.6917857392006,10,20310.20537911191,4.931962858284995
Doré,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,460.8375918946573,18,20310.20537911191,2.268995233148194
Doré,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-SK,202.94628193060484,1,20310.20537911191,0.9992330365074769
Doré,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,192.75018769267544,6,20310.20537911191,0.9490312091620202
Doré,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,104.01381796961519,13,20310.20537911191,0.5121258797145818
Doré,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,70.4150010515999,11,20310.20537911191,0.3466976317433915
Doré,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,66.52885282032356,13,20310.20537911191,0.3275636635794208
