main_id,facility_group_id,flow_type,subflow_type,value_MJ,site_id,activity_name,ore_processed_t,value_normalized,functional_unit,allocation_factor,normalization_key
BC-MAIN-857b7b89,,Energy,Acetylene,18475.650648,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,0.11129910028915661,Ore processed,1,ore
BC-MAIN-857b7b89,,Energy,Aviation fuel,72676110.7896,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,437.80789632289157,Ore processed,1,ore
BC-MAIN-857b7b89,,Energy,Diesel,287042447.23154205,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,1729.1713688647112,Ore processed,1,ore
BC-MAIN-857b7b89,,Energy,Gasoline,13568450.0,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,81.73765060240964,Ore processed,1,ore
BC-MAIN-857b7b89,,Energy,Propane,42071041.3,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,253.4400078313253,Ore processed,1,ore
BC-MAIN-857b7b89,,Energy,Used oil,2344024.4,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,14.12062891566265,Ore processed,1,ore
BC-MAIN-857b7b89,,Energy,Electricity consumption|Grid electricity,569009584.8,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,3427.76858313253,Ore processed,1,ore
BC-MAIN-857b7b89,,Energy,Electricity consumption|Generated on-site,86225117.39559999,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",166000.0,519.4284180457831,Ore processed,1,ore
QC-MAIN-e7e6a960,,Energy,Electricity consumption|Grid electricity,2428287789.6,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",19594928.0,123.92430273793299,Ore processed,1,ore
QC-MAIN-e7e6a960,,Energy,Diesel,2557832000.0,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",19594928.0,130.53541202090665,Ore processed,1,ore
QC-MAIN-e7e6a960,,Energy,Light Fuel & Gasoline,42833000.0,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",19594928.0,2.18592280614657,Ore processed,1,ore
QC-MAIN-e7e6a960,,Energy,Natural gas,162805000.0,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",19594928.0,8.308527594487716,Ore processed,1,ore
QC-MAIN-e7e6a960,,Energy,Propane,1463609.3699999999,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",19594928.0,0.07469327623964732,Ore processed,1,ore
NL-MAIN-dd723db4,,Energy,Energy use,14922000000.0,NL-MAIN-dd723db4,"Fe, OP mining and beneficiation at Carol Lake",17880000.0,834.5637583892617,Ore processed,1,ore
QC-MAIN-b86f7d07,,Energy,Diesel|Mobile equipment,378542030.29396677,QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi",1361450.0,278.0432849491107,Ore processed,1,ore
QC-MAIN-b86f7d07,,Energy,Gasoline|Mobile equipment,17908178.0536758,QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi",1361450.0,13.153753757887399,Ore processed,1,ore
QC-MAIN-b86f7d07,,Energy,Propane,42813081.771589935,QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi",1361450.0,31.446679475257948,Ore processed,1,ore
QC-MAIN-b86f7d07,,Energy,Electricity consumption|Not specified,495635929.2,QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi",1361450.0,364.05004164677365,Ore processed,1,ore
BC-MAIN-599152a0,,Energy,Diesel,80960000.0,BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain",6862152.0,11.798048192462073,Ore processed,1,ore
BC-MAIN-599152a0,,Energy,Gasoline,368000.0,BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain",6862152.0,0.05362749178391851,Ore processed,1,ore
