"REF_DATE","GEO","DGUID","Products","Variables","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Total metals recoverable, non-metals and aggregates, clay and refractory minerals (Thousands of dollars)","Quantity produced","Thousands of dollars","284","units","0","v1277426960","1.1.1","","..","","","0"
"2019","Canada","2016A000011124","Total metals recoverable, non-metals and aggregates, clay and refractory minerals (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277495960","1.1.4","43856451","","","","0"
"2019","Canada","2016A000011124","Metals, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417446","1.2.4","29692385","","","","0"
"2019","Canada","2016A000011124","Cobalt, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417464","1.3.1","5039","","","","0"
"2019","Canada","2016A000011124","Cobalt, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417465","1.3.2","4365","","","","0"
"2019","Canada","2016A000011124","Cobalt, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417484","1.4.4","180029","","","","0"
"2019","Canada","2016A000011124","Copper, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417503","1.5.1","1723882","","","","0"
"2019","Canada","2016A000011124","Copper, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417504","1.5.2","1720953","","","","0"
"2019","Canada","2016A000011124","Copper, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417505","1.5.3","65266","","","","0"
"2019","Canada","2016A000011124","Copper, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417520","1.6.4","4844644","","","","0"
"2019","Canada","2016A000011124","Copper, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417539","1.7.1","557242","","","","0"
"2019","Canada","2016A000011124","Copper, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417540","1.7.2","551562","","","","0"
"2019","Canada","2016A000011124","Copper, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417558","1.8.4","4293553","","","","0"
"2019","Canada","2016A000011124","Gold and silver bullion, crude and dore (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417579","1.9.1","235117","","","","0"
"2019","Canada","2016A000011124","Gold and silver bullion, crude and dore (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417580","1.9.2","232432","","","","0"
"2019","Canada","2016A000011124","Gold and silver bullion, crude and dore (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417581","1.9.3","15659","","","","0"
"2019","Canada","2016A000011124","Gold and silver bullion, crude and dore (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417321","1.10.4","9887488","","","","0"
"2019","Canada","2016A000011124","Gold, concentrates (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417341","1.11.1","","x","","","0"
"2019","Canada","2016A000011124","Gold, concentrates (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417342","1.11.2","","x","","","0"
"2019","Canada","2016A000011124","Gold, concentrates (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417343","1.11.3","","x","","","0"
