Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,Reporting Company CRA Business Number / Numéro d'entreprise ARC de la société déclarante,Reporting Company DUNS Number / Numéro DUNS de la société déclarante,Public Contact Name / Nom du responsable des renseignements au public,Public Contact Position / Poste ou Titre du responsable des renseignements au public,Public Contact Telephone / Numéro de téléphone du responsable des renseignements au public,Public Contact Extension / Poste téléphonique du responsable des renseignements au public,Public Contact Email / Adresse électronique du responsable des renseignements au public,Public Contact Mailing Address / Adresse postale du responsable des renseignements au public,Public Contact City or District or Municipality / Ville ou District ou Municipalité du responsable des renseignements au public,Public Contact Province or Territory / Province ou Territoire du responsable des renseignements au public,Public Contact Postal Code / Code postal du responsable des renseignement au public,Emission Source / Source d'emission,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes),HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2),GHGRP Quantification Requirements / Exigences de quantification du PDGES,Emission Factors / Coefficients d'émission,Engineering Estimates / Estimations techniques,Mass Balance / Bilan massique,Monitoring or Direct Measurement / Surveillance ou mesure directe
G10001,2023,Division Alma,1100 Melançon Street,Alma,Quebec,G8B 5W2,48.565,-71.65556,983,322111,Mechanical Pulp Mills,Usines de pâte mécanique,Produits forestiers Résolu,Resolute FP Canada Inc.,144272010,249888900,Jean Gaudreault,Coordonnateur environnement,4186689400,9461,Jean.Gaudreault@abitibibowater.com,1100 Melançon,Alma,Quebec,G8B 5W2,Stationary Fuel Combustion / Combustion stationnaire de combustibles,35489.21,0.694,19.432,0.616,163.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,35671.882,52135.281,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10001,2023,Division Alma,1100 Melançon Street,Alma,Quebec,G8B 5W2,48.565,-71.65556,983,322111,Mechanical Pulp Mills,Usines de pâte mécanique,Produits forestiers Résolu,Resolute FP Canada Inc.,144272010,249888900,Jean Gaudreault,Coordonnateur environnement,4186689400,9461,Jean.Gaudreault@abitibibowater.com,1100 Melançon,Alma,Quebec,G8B 5W2,On-site Transportation / Transport sur le site,220.28,0.043,1.204,0.003,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,222.279,52135.281,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10001,2023,Division Alma,1100 Melançon Street,Alma,Quebec,G8B 5W2,48.565,-71.65556,983,322111,Mechanical Pulp Mills,Usines de pâte mécanique,Produits forestiers Résolu,Resolute FP Canada Inc.,144272010,249888900,Jean Gaudreault,Coordonnateur environnement,4186689400,9461,Jean.Gaudreault@abitibibowater.com,1100 Melançon,Alma,Quebec,G8B 5W2,Waste / Déchets,0,580.04,16241.12,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,16241.12,52135.281,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10003,2023,"Foothills Pipeline, Alberta",,AIRDRIE,Alberta,T4A 2G7,,0,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,101840080,0,Ana Maric,Senior Air and GHG Emissions Specialist,4039206645,,ana_maric@tcenergy.com,450 1 Street Southwest,Calgary,Alberta,T2P 5H1,Leakage / Fuites,2.035,104.573,2928.044,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,2930.079,257499.354,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable
G10003,2023,"Foothills Pipeline, Alberta",,AIRDRIE,Alberta,T4A 2G7,,0,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,101840080,0,Ana Maric,Senior Air and GHG Emissions Specialist,4039206645,,ana_maric@tcenergy.com,450 1 Street Southwest,Calgary,Alberta,T2P 5H1,Stationary Fuel Combustion / Combustion stationnaire de combustibles,243458.838,18.517,518.476,6.295,1668.175,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,245645.489,257499.354,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10003,2023,"Foothills Pipeline, Alberta",,AIRDRIE,Alberta,T4A 2G7,,0,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,101840080,0,Ana Maric,Senior Air and GHG Emissions Specialist,4039206645,,ana_maric@tcenergy.com,450 1 Street Southwest,Calgary,Alberta,T2P 5H1,Venting / Évacuation,5.982,318.493,8917.804,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,8923.786,257499.354,Not applicable / Sans Objet,Applicable,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10004,2023,Kingston CoGen,5146 Taylor-Kidd Boulevard,Bath,Ontario,K0H 1G0,44.2095,-76.7246,5765,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Kingston CoGen Limited Partnership,Kingston CoGen,140263690,206964806,Ryan Forget,Consultant,7053582090,,ryan.forget@purenergyllc.com,282 Treadlightly Drive,Corbel,Ontario,P0H 1K0,Stationary Fuel Combustion / Combustion stationnaire de combustibles,934.2516,0.212873,5.960444,0.023041,6.105865,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,946.317909,946.317909,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10006,2023,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,134436260,0,Quinton Thiessen,"Advisor, Environment",7809985895,,quinton.thiessen@nutrien.com,56225 643 Highway,Redwater,Alberta,T0A 2W0,Flaring / Torchage,13445.05,21.03,588.84,0.233,61.745,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,14095.635,1079936.645,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10006,2023,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,134436260,0,Quinton Thiessen,"Advisor, Environment",7809985895,,quinton.thiessen@nutrien.com,56225 643 Highway,Redwater,Alberta,T0A 2W0,Leakage / Fuites,0.3618,26.06,729.68,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,730.0418,1079936.645,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10006,2023,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,134436260,0,Quinton Thiessen,"Advisor, Environment",7809985895,,quinton.thiessen@nutrien.com,56225 643 Highway,Redwater,Alberta,T0A 2W0,Stationary Fuel Combustion / Combustion stationnaire de combustibles,728769.047,14.490939,405.746292,12.876631,3412.307215,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,732587.1005,1079936.645,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
